listing_id,sentiment_score
4887279,0.61
4888430,0.82
4890367,0.74
4891710,0.75
4900840,0.84
4908966,0.82
4917789,0.97
4923561,0.76
4924224,0.94
4924996,0.87
4925824,0.78
4929467,0.77
4930281,0.81
4942126,0.8
4951472,0.88
4958373,0.87
4958985,0.26
4962994,0.87
4975152,0.92
4975441,0.66
4975725,0.77
4977164,0.89
4983260,0.5
4983319,0.8
4983971,0.97
4985846,0.8
4985920,0.8
4995055,0.84
4997904,0.94
4998418,0.94
5003079,0.83
5004095,0.98
5005722,0.85
5013306,0.52
5018084,0.85
5019513,0.88
5021916,0.8
5025880,0.79
5029879,0.78
5030986,0.81
5033999,0.51
5036573,0.79
5036991,0.86
5041028,0.77
5050864,0.77
5051170,0.27
5054038,0.55
5059298,0.76
5061001,0.83
5066202,0.72
5069604,0.84
5074952,0.75
5083879,0.78
5089343,0.9
5095202,0.84
5095603,0.84
5116767,0.83
5117160,0.79
5132925,0.95
5142544,0.82
5147135,0.84
5151927,0.86
5153968,0.53
5154272,0.85
5173875,0.94
5174441,0.92
5174516,0.7
5188614,0.73
5189544,0.93
5204979,0.83
5220678,0.7
5226568,0.98
5241608,0.58
5261334,0.83
5268254,0.92
5273102,0.89
5277539,0.83
5278749,0.91
5280660,0.63
5281143,0.82
5281150,0.85
5286926,0.81
5287115,0.59
5289620,0.7
5292336,0.61
5298861,0.84
5308738,0.84
5310461,0.75
5315811,0.78
5317000,0.93
5319105,0.86
5329665,0.97
5347437,0.71
5353217,0.76
5353556,0.91
5355000,0.94
5374701,0.81
5386190,0.77
5386570,0.86
5386705,0.69
5391067,0.83
5395880,0.91
5397115,0.92
5403396,0.88
5403527,0.94
5415364,0.83
5415806,0.7
5418416,0.89
5420833,0.88
5422241,0.96
5423637,0.83
5431514,0.74
5432639,0.82
5434497,0.78
5439050,0.38
5439203,0.88
5442064,0.75
5446042,0.75
5458984,0.48
5458993,0.88
5459210,0.9
5466260,0.79
5469892,0.33
5470250,0.99
5471844,0.76
5475847,0.64
5480529,0.85
5487325,0.21
5489928,0.79
5490474,0.81
5498331,0.78
5498767,0.68
5499273,0.79
5500269,0.84
5509560,0.88
5511908,0.61
5517202,0.87
5518317,0.98
5518928,0.93
5521420,0.82
5524058,0.76
5525961,0.8
5541927,0.64
5543101,0.85
5545969,0.49
5550758,0.79
5554191,0.6
5559784,0.86
5562249,0.83
5562649,0.79
5571829,0.88
5580395,0.79
5581937,0.85
5586792,0.85
5587307,0.93
5593084,0.94
5598071,0.59
5598800,0.86
5602997,0.85
5604407,0.24
5607187,0.78
5617978,0.82
5620000,0.99
5631903,0.81
5635964,0.76
5642121,0.85
5653187,0.84
5657801,0.74
5658671,0.7
5668201,0.84
5669029,0.67
5669069,0.93
5670706,0.9
5671613,0.77
5671750,0.87
5681246,0.83
5683127,0.78
5683702,0.72
5684585,0.82
5695072,0.83
5695073,0.8
5708414,0.83
5708517,0.88
5714619,0.92
5724081,0.81
5735855,0.78
5738969,0.8
5746615,0.89
5746685,0.86
5747556,0.79
5756051,0.84
5758430,0.81
5758514,0.64
5759976,0.86
5760290,0.79
5761422,0.95
5761885,0.87
5770940,0.89
5783911,0.75
5785794,0.82
5786064,0.85
5795871,0.71
5805635,0.72
5805942,0.87
5806607,0.56
5807008,0.9
5809691,0.82
5814747,0.82
5821852,0.93
5833038,0.87
5839745,0.86
5848282,0.78
5851116,0.81
5851756,0.81
5855569,0.76
5857194,0.82
5862723,0.86
5862788,0.93
5863295,0.79
5868688,0.83
5869076,0.81
5877217,0.83
5879297,0.78
5881530,0.81
5883318,0.87
5884410,0.52
5884597,0.91
5890629,0.72
5890741,0.85
5891507,0.84
5898448,0.97
5904291,0.88
5905105,0.93
5916367,0.57
5919984,0.94
5920467,0.87
5922059,0.79
5923285,0.68
5926311,0.83
5928667,0.71
5929205,0.68
5930081,0.93
5932430,0.93
5933084,0.8
5939556,0.98
5940301,0.94
5942478,0.84
5942736,0.86
5944041,0.89
5944987,0.93
5946811,0.62
5948014,0.89
5959264,0.93
5960293,0.69
5965950,0.87
5966300,0.85
5969673,0.84
5977054,0.77
5977148,0.98
5977564,0.96
5979207,0.96
5989531,0.9
5991720,0.91
5993234,0.84
5997203,0.63
5999578,0.84
